"id","title","abstract","human_decision"
"record_001","Evaluation of managed access approach in Anambas Islands Marine Recreational Park, Riau Islands Province","Managed access with reserved (MAR) is an approach for sustainable fisheries management, combined community-based conservation approach with spatial management to restore and protect Indonesia's small-scale fisheries. This paper examines the implementation of MAR programs in Batu Belah village of Anambas islands marine recreational park, Riau islands province. The structured household survey and semi-structured interviews were conducted along with field observation during December 2018. The descriptive analysis applied to understand community knowledge, acceptance, participation, and perception on the current of marine environmental conditions, while the Analytic Network Process (ANP) used to identify problems and best strategies to improve future actions. Community knowledge and participation in MAR programs are at a moderate level, while community acceptance of MAR programs is at a high level. They mostly responded that the coastal environment is in better condition compared to previous years. Overall, the level of community perception in Batu Belah about the MAR program is in the moderate level category. There needs some improvement in terms of management capacity, creation of...","Reject"
"record_002","Livelihoods and fisheries governance in a contemporary Pacific Island setting","Inshore marine resources play an important role in the livelihoods of Pacific Island coastal communities. However, such reliance can be detrimental to inshore marine ecosystems. Understanding the livelihoods of coastal communities is important for devising relevant and effective fisheries management strategies. Semi-structured household interviews were conducted with householders in Langalanga Lagoon, Solomon Islands, to understand household livelihoods and resource governance in fishing-dependent communities. Households were engaged in a diverse range of livelihoods. Fishing, shell money production and gardening were the most important livelihoods. Proximity to an urban centre influenced how households accessed some livelihoods. Perceptions of management rules varied and different reasons were cited for why rules were broken, the most common reason being to meet livelihood needs. Current models of inshore small-scale fisheries management that are based on the notion of community-based resource management may not work in locations where customary management systems are weak and livelihoods are heavily reliant on marine resources. An important step for fisheries management in suc...","Accept"
"record_003","Guidelines for coastal and marine site-planning and examples of planning and management intervention tools","Guidelines are presented for a process to plan for the sustainable management of coastal and marine ecosystems of discrete sites. The guidelines provide an agreed starting point to initiate a site-planning effort, help organize a complicated process into discrete components, incorporate principles of community-based and collaborative management, minimize the risk of conflict by directly involving representatives of all interest groups and identifying and addressing all issues at an incipient stage, promote development of a sense of ownership and support for resulting management initiatives by all stakeholders, address the cumulative effects of adverse impacts to coastal and marine environments, and implement an integrated approach by considering all interrelated elements that affect the site through the collaboration of all interest groups. Site-planning is a process of reviewing past progress and assessing current and future issues, threats, and needs to identify priority management intervention activities that will sustain ecological, economic, and cultural values; balance multiple and often incompatible objectives; address priority threats to natural ecosystem functioning; co...","Accept"
"record_004","Antimicrobial stewardship program (ASP): An effective implementing technique for the therapy efficiency of meropenem and vancomycin antibiotics in Iranian pediatric patients","Background: Antimicrobial stewardship program (ASP) is a distinguished method to improve the prescription and efficacy of antibiotics. Aim: The efficacy of ASP and conventional methods was compared to measure the effectiveness of meropenem (MPM) and vancomycin (VMN) antibiotics in pediatric patients. Design: In an interventional quasi-experimental study, 135 children admitted in Children's Hospital affiliated to University of Medical Sciences in time periods of 2014-2015 and 2015-2016 were assessed. Methods: The conventional and ASP methods in 2014-2015 and 2015-2016 were respectively utilized to provide the best antimicrobial therapy of MPM and VMN antibiotics in patient children. The data of mortality rate (MR), antibiotic prescription (AP), antibiotic dose (ADe), antibiotic duration (ADn), length of hospital stay (LOHS), and blood cultures (BCs) were compared across the years using the Chi square, independent t test, and Fisher's exact test. Results: The levels of MR, AP, ADe, ADn, LOHS, and positive BCs using the ASP method in 2015-2016 were significantly lower those of in 2014-2015 using the conventional one (p < 0.05). Conclusions: The ASP method versus conventional one wi...","Reject"
"record_005","Ecosystem services approach for community-based ecotourism: towards an equitable and sustainable blue economy","This paper examines the role of community-based ecotourism within the developing market dynamics of the blue economy. The blue economy has become synonymous with generating wealth from ocean-related activities while protecting and supporting marine ecosystems. For remote coastal communities and Small Island Developing States, local economic development is a challenging balance between protecting marine biodiversity and maintaining sustainable and direct access to ecosystem services. In this paper, we present results of a study in the coastal region of South Sulawesi Province, Indonesia in the Coral Triangle. The paper illustrates that community-based ecotourism supports sustainable use of marine resources and offers an entry point for low-resource coastal communities to take part in the blue economy. Complementary livelihood pathways that enhance primary income and support ecosystem services play a key role. Study findings show that three key areas where multilateral support is most needed for communities with ecotourism aspirations are: waste management, hospitality skills, and market access. From these findings, we present a model for community-based ecotourism in the blue eco...","Reject"
"record_006","Effects of community-based management on amazon river turtles: A case study of podocnemis sextuberculata in the Lower Amazon Floodplain, ParÃ¡, Brazil","Podocnemis sextuberculata is cited as ""vulnerable"" on the International Union for Conservation of Nature Red List due to a decline in its population as a result of the intensive exploitation pressure throughout its range. Understanding the effects of environmental characteristics and human activities on turtle populations is essential to improve current conservation programs. We analyzed the abundance of Podocnemis sextuberculata in the lower Amazon, where a management experiment is under way, by comparing neighboring areas with and without community-based management (CBM) initiatives. In addition, we analyzed the influence of environmental variables on the species' abundance. Abundance was measured by captures per unit effort expressed in number of individuals (CPUEN) and biomass (CPUEB). The effects of CBM and environmental variables were tested by General Linear Model analysis. A total of 354 individuals were captured, 321 in the areas under CBM and 33 in areas without CBM. CPUEN and CPUEB were strongly correlated, and their values were about 10-fold higher in the areas carrying out CBM initiatives. The variable that best explained variation in CPUEN and CPUEB was CBM. Distan...","Reject"
"record_007","Development of On-Line Hatchery Monitoring and Feeding Management System for Nile Tilapia","Eastern Visayas State University Carigara Campus (EVSU-CC) is a recipient of the Philippine National Aquasilviculture Program (PNAP) particularly on the establishment of Community-Based Multi-Species Hatcheries (CBMSH) through Bureau of Fisheries and Aquatic Resources (BFAR). The development of the on-line hatchery monitoring and feeding management system for Nile Tilapia using an Android-driven automated feeder device that has a short messaging service (SMS) feature that notifies the administrator and farmworker of the auto feeder status was the key objective of this study. The Waterfall model - a software development life cycle approach was used in the development of the on-line monitoring and feeding management system. To determine the capability of the system to monitor the hatchery online, release the feed as scheduled and notify the user of the auto feeder status, the researcher utilized a survey questionnaire with 30 respondents from EVSU-CC employees and hatchery on-thejob trainees. The results were treated using Likert-scale and T-test (one-sampled statistics). The result showed that the system can successfully monitor the hatchery online, dispense feed as scheduled and...","Reject"
"record_008","Sea-to-sky highway improvement project: Environmental enhancements and project legacies","The Project successfully implemented innovative management strategies that protected and enhanced the environment during construction and operation and resulted in: infrastructure improvements of direct benefit to fish and wildlife; safer public access to Provincial parks, trailheads and rock climbing areas; improvements to Provincial park facilities and trailhead and viewpoint parking areas; funding of community trail initiatives; additions of ecologically important habitat to Provincial parks; and partnering on community-based conservation and enhancement projects. Our experience suggests that the multi-faceted approach to environmental management offers valuable opportunities to not only protect the environment, but to enhance it and create important Project legacies.","Reject"
"record_009","Enhancing small-scale fisheries management through community engagement and multi-community partnerships: Comoros case study","Management of small-scale fisheries in developing countries is a challenging endeavor with debates over which actors are most effective. This study identifies and describes the roles of community, government, and other actors in management of small-scale fisheries in the Comoros (Western Indian Ocean). Actor roles in management as well as social perceptions and ecological indicators of management performance were investigated through stakeholder interviews and ecological surveys at 20 sites, including sites within and outside a Marine Protected Area. The weak boundaries and memberships observed in the fisheries coincided with an open access situation at a few sites, but the majority of sites maintained fisher buy-in and effective management through community engagement, horizontal networks of multi-community partnerships, and state support. This study also found that third party actors such as non-governmental organizations initiated effective management by providing environmental education, building capacity, and facilitating communication among stakeholders and community members. Further investigation of how to facilitate adoption of appropriate actor roles and foster relation...","Reject"
"record_010","Effectiveness of village-based marine reserves on reef invertebrates in Emau, Vanuatu","Despite the current expansion of community-based marine conservation initiatives in the Pacific, few studies have specifically addressed their ecological efficiency to restore or enhance reef invertebrate resources. This paper investigated the effects of two very small (&lt; 0.05 km2) recent village-based marine reserves (tabu areas) located along the shallow fringing reef of Emau island, Vanuatu. Surveys focused on heavily harvested species (namely trochus, giant clams and green snails) and involved both experienced scientists and local villagers. Abundance, density and individual size data were collected by snorkelling along random transect belts located inside and outside the tabu areas, using simple PVC measuring tools specifically developed for participative monitoring. Habitat was assessed using a photographic method to quantitatively describe varied reef substrata. Resource recovery varied between the areas as a result of species-specific responses to contrasted reserve characteristics and local management practices. Fast-growing mobile Trochus niloticus exhibited strong positive abundance and size responses only within the older larger tabu area through the combined effe...","Accept"
"record_011","Transaction costs of community-based coastal resource management: The case of San Miguel Bay, Philippines","This study estimates and analyzes the transaction costs (TC) associated with the implementation of a multilevel and multistakeholder program such as a community-based coastal resource management program. Results show that TC accounted for 37% of the total project cost (TPC). The instability of financial support resulted in high TC, which was estimated to be 86% of the TPC during the implementation phase of the coastal resource management projects. The share of the total TC was highest among the people's organizations (POs) that were the beneficiaries of the program. The number of people involved in the transactions, the number of activities undertaken, and the success index of the POs were among the factors significantly affecting the TC. Analysis also shows that while higher TC led to higher success index of the POs at the initial stage of the project implementation, an increasing level of TC eventually slowed down their performance.","Reject"
"record_012","Marine Protected Areas in Fiji: A critical assessment of 'Community Fisheries Management and Development Plans' as a mechanism for formalising customary MPAs, in particular LMMAs","Fiji's National Government has committed to using Marine Protected Areas (MPAs) to protect its marine environment. As Fiji is in the process of reforming its marine law, now is an opportune time to develop statutory mechanisms for establishing and regulating MPAs. This article considers the regulation of MPAs in Fiji's coastal waters - where the intersection of statutory and customary law poses particular challenges. 'Customary MPAs' already exist in Fiji's coastal environments, taking the form of tabu areas and 'Locally Managed Marine Areas' (LMMAs). Both of these are important mechanisms that any new statutory framework should incorporate and strengthen. In 2010, the draft Inshore Fisheries Decree (draft Inshore Decree) was prepared. Although the draft Inshore Decree appears to have stalled, it may yet be progressed to a final bill. Alternatively, some of the measures in it may be incorporated into another law. This article assesses one mechanism in the draft Inshore Decree that could be used to formalize customary MPAs - Community Fisheries Management and Development Plans (CFMDPs). It finds that CFMDPs demonstrate a number of strengths, in particular by supporting legal reco...","Accept"
"record_013","Enhancing community empowerment through participatory fisheries research","This paper reports on the outcomes of a project that engaged researchers and fishers together in adapting participatory social science approaches to the purposes and the constraints of community-based fisher organizations. The work was carried out in the Scotia-Fundy Region of Atlantic Canada (the Bay of Fundy and Scotian Shelf) between 1999 and 2003. After a period of reflection on what was collectively learned from our experiences in this project, the academics went back to the community partners in a recent workshop for further discussion and refinement of the lessons. We conclude that true participatory fishery research, utilized in support of community-based management, can be a particularly powerful tool. However, it has few effective shortcuts, it must deal early in the research process with power imbalances, and it should involve significant political engagement and empowerment through co-learning. This assessment of participatory research in coastal fisheries also has significant implications for how we think of social capital and on how we may develop community-based resource management for a sustainable future. Â© 2008 Elsevier Ltd. All rights reserved.","Reject"
"record_014","Predicting impact to assess the efficacy of community-based marine reserve design","During the planning phase the efficacy of different strategies to manage marine resources should ultimately be assessed by their potential impact, or ability to make a difference to ecological and social outcomes. While community-based and systematic approaches to establishing marine protected areas have their strengths and weaknesses, comparisons of their effectiveness often fail to explicitly address potential impact. Here, we predict conservation impact to compare recently implemented community-based marine reserves in Tonga to a systematic configuration specifically aimed at maximizing impact. Boosted regression tree outputs indicated that fishing pressure accounted for âˆ¼24% of variation in target species biomass. We estimate that the community-based approach provides 84% of the recovery potential of the configuration with the greatest potential impact. This high potential impact results from community-based reserves being located close to villages, where fishing pressure is greatest. These results provide strong support for community-based marine management, with short-term benefits likely to accrue even where there is little scope for systematic reserve design. Â© 2018 T...","Accept"
"record_015","Restoration of small lakes through cooperative management: A suitable strategy for poverty-laden areas in developing countries?","Lake Rupa is a small, subtropical, shallow lake with a surface area of 100 ha situated 600 m a.s.l. in Central Himalaya, Nepal. This degraded lake was studied between 2000 and 2006, with the goal of determining whether or not it could be restored by a community-based cooperative of local people living in its catchment. Main threats to the lake, its aquatic life and its very existence include encroachment by excessive aquatic vegetation, sedimentation, and low in-lake concentrations of dissolved oxygen (DO). Small lakes (â‰¤ 500 ha) are relatively prone to the process of 'succession and climax', although they also can be of social, environmental and ecological importance. Thus, their disappearance could spark social chaos and disorder in areas already having to cope with other rapid environmental changes. This means that credible mechanisms for revitalizing or protecting small lakes are an important goal. Accordingly, a lake cooperative of 329 households living in close vicinity to Lake Rupa was formed in 2002, by prioritizing traditional fishers, women and other deprived community members with the goals of respecting the citizenry and equity. Following the cooperative's campaign...","Reject"
"record_016","Overall subarachnoid hemorrhage outcomes in Miyagi Prefecture: A comparative analysis for the years 1984 and 1991","The annual per population incidence of subarachnoid hemorrhage (SAH) in Miyagi Prefecture has been calculated as being 17.0/100,000 recently. In order to determine whether changes have occurred in the overall SAH outcomes over recent years, we have analyzed the annual 1984 and 1991 SAH outcomes contained in a community-based stroke register in Miyagi Prefecture. From a total of 302 SAH cases for 1984 and 351 SAH cases for 1991, the complete clinical records of 268 cases and 321 cases, respectively, were extracted for this analysis. The male-to-female SAH patient ratio has shifted from 1:8 to 2:3 between the two studied years, and the average age has increased from 50.8 years to 53.4 years for males and from 58.2 years to 60.5 years for females. Further, the average pre hospitalization period from SAH onset has shortened from 4.6 days to 2.4 days. The number of SAH cases with a poor grading, i.e., Grades 4 and 5 of Hunt and Kosnik grading, has increased from 19. 8% to 27.1% and the number of Fisher's group 3 patients has similarly increased from 43.2% to 61.3%. In general, acute stage SAH patients under 75 years of age with Hunt and Kosnik grading of less than Grade 4 underwent s...","Reject"
